Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id,Library Name
ERR10849529,RNA-Seq,302,12193015044,PRJEB57288,SAMEA111552011,5173641029,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10294621,SAMEA111552011,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:31:00Z,1,SAMEA111552011,mCTO43,Homo sapiens,ERP142256,mCTO43,
ERR10850000,RNA-Seq,302,12533207172,PRJEB57288,SAMEA111552016,5354984854,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10295092,SAMEA111552016,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:44:00Z,1,SAMEA111552016,mCTO66S3,Homo sapiens,ERP142256,mCTO66S3,
ERR10850508,RNA-Seq,302,11960433670,PRJEB57288,SAMEA111552016,5057261290,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10295549,SAMEA111552016,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:38:00Z,1,SAMEA111552016,mCTO66S3,Homo sapiens,ERP142256,mCTO66S3,
ERR10851265,RNA-Seq,302,13083014480,PRJEB57288,SAMEA111552016,5568575386,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10296245,SAMEA111552016,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:53:00Z,1,SAMEA111552016,mCTO66S3,Homo sapiens,ERP142256,mCTO66S3,
ERR10862820,RNA-Seq,302,9570213900,PRJEB57288,SAMEA111552030,3864854597,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10307521,SAMEA111552030,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:51Z,2023-03-07T00:41:51Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:35:00Z,1,SAMEA111552030,RTO7,Homo sapiens,ERP142256,RTO7,
ERR10862977,RNA-Seq,302,8904723076,PRJEB57288,SAMEA111552029,3585944924,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10307678,SAMEA111552029,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:51Z,2023-03-07T00:41:51Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:36:00Z,1,SAMEA111552029,RTO2,Homo sapiens,ERP142256,RTO2,
ERR10863355,RNA-Seq,302,11397967730,PRJEB57288,SAMEA111552030,4540694624,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10308056,SAMEA111552030,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:51Z,2023-03-07T00:41:51Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:37:00Z,1,SAMEA111552030,RTO7,Homo sapiens,ERP142256,RTO7,
ERR10863363,RNA-Seq,302,11754101532,PRJEB57288,SAMEA111552029,4737432738,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10308064,SAMEA111552029,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:51Z,2023-03-07T00:41:51Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:42:00Z,1,SAMEA111552029,RTO2,Homo sapiens,ERP142256,RTO2,
ERR10852934,RNA-Seq,302,12089544710,PRJEB57288,SAMEA111552023,5154898914,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10297701,SAMEA111552023,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:51Z,2023-03-07T00:41:51Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:44:00Z,1,SAMEA111552023,mCTT43,Homo sapiens,ERP142256,mCTT43,
ERR10854489,RNA-Seq,302,13667279686,PRJEB57288,SAMEA111552025,5804659154,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10299256,SAMEA111552025,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:51Z,2023-03-07T00:41:51Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:43:00Z,1,SAMEA111552025,mCTT47,Homo sapiens,ERP142256,mCTT47,
ERR10854664,RNA-Seq,302,10883669582,PRJEB57288,SAMEA111552026,4337527121,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10299431,SAMEA111552026,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:51Z,2023-03-07T00:41:51Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:37:00Z,1,SAMEA111552026,mCTT50B,Homo sapiens,ERP142256,mCTT50B,
ERR10857162,RNA-Seq,302,8396126386,PRJEB57288,SAMEA111552031,3421677633,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10301883,SAMEA111552031,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:51Z,2023-03-07T00:41:51Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:36:00Z,1,SAMEA111552031,RTT2,Homo sapiens,ERP142256,RTT2,
ERR10863856,RNA-Seq,302,22203719500,PRJEB57288,SAMEA111552027,9453138020,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10308567,SAMEA111552027,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:51Z,2023-03-07T00:41:51Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:55:00Z,1,SAMEA111552027,mCTT66S3,Homo sapiens,ERP142256,mCTT66S3,CCR-mCTT66S3-RNA-Seq
ERR10864639,RNA-Seq,302,9898615646,PRJEB57288,SAMEA111552032,4039071408,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10309350,SAMEA111552032,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:51Z,2023-03-07T00:41:51Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:34:00Z,1,SAMEA111552032,RTT7,Homo sapiens,ERP142256,RTT7,
